Salon ID;Salon Name;Street;Postal Code;City;Phone;Specialization;Source/Marker;Notes
GL-0001;Berlin The Art of Hair #1;Kurfürstendamm 146;10117;Berlin;+49 694 238486;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0002;Berlin Exclusiv Friseur #2;Friedrichstraße 82;10118;Berlin;+49 861 978252;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0003;Berlin Haarverlängerung Meister #3;Tauentzienstraße 49;10119;Berlin;+49 470 698672;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0004;Berlin Top Hair Studio #4;Uhlandstraße 14;10120;Berlin;+49 607 921777;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0005;Berlin Premium Coiffeur #5;Schlüterstraße 59;10121;Berlin;+49 276 382902;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0006;Berlin Luxury Hair Lounge #6;Bleibtreustraße 7;10122;Berlin;+49 857 624546;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0007;Berlin Haarverlängerung Meister #7;Grolmanstraße 54;10117;Berlin;+49 891 446799;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0008;Berlin Exclusiv Friseur #8;Fasanenstraße 43;10118;Berlin;+49 765 724107;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0009;Berlin Couture Extensions #9;Kurfürstendamm 120;10119;Berlin;+49 332 793267;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0010;Berlin The Art of Hair #10;Friedrichstraße 128;10120;Berlin;+49 215 885190;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0011;Berlin Luxury Hair Lounge #11;Tauentzienstraße 15;10121;Berlin;+49 314 857579;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0012;Hamburg Top Hair Studio #1;Neuer Wall 104;20354;Hamburg;+49 713 473868;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0013;Hamburg Haarverlängerung Meister #2;Jungfernstieg 11;20355;Hamburg;+49 664 955715;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0014;Hamburg Premium Coiffeur #3;Gänsemarkt 28;20356;Hamburg;+49 826 680141;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0015;Hamburg Luxury Hair Lounge #4;Colonnaden 44;20357;Hamburg;+49 433 207035;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0016;Hamburg Luxury Hair Lounge #5;Alsterarkaden 16;20358;Hamburg;+49 216 643142;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0017;Hamburg Haarverlängerung Meister #6;Große Bleichen 73;20359;Hamburg;+49 451 592024;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0018;Hamburg The Art of Hair #7;Stadthausbrücke 87;20354;Hamburg;+49 301 943875;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
