Salon ID;Salon Name;Street;Postal Code;City;Phone;Specialization;Source/Marker;Notes
SH-CLEAN-0001;Flensburg Hair Studio #1;Große Straße 69;24937;Flensburg;+49 987 527023;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0002;Flensburg Hair Studio #2;Holm 69;24938;Flensburg;+49 239 497540;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0003;Flensburg UV-Weft Lounge #3;Norderstraße 138;24939;Flensburg;+49 540 457352;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0004;Flensburg Coiffeur #4;Große Straße 14;24940;Flensburg;+49 338 453597;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0005;Flensburg Haar-Atelier #5;Holm 144;24937;Flensburg;+49 918 357072;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0006;Kiel Tressen & More #1;Holstenstraße 1;24103;Kiel;+49 992 191869;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0007;Kiel Tressen & More #2;Dänische Straße 153;24104;Kiel;+49 271 106915;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0008;Kiel Extensions Experts #3;Sophienblatt 81;24105;Kiel;+49 659 206993;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0009;Kiel Hair Studio #4;Holstenstraße 12;24106;Kiel;+49 883 249081;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0010;Kiel Master Hair #5;Dänische Straße 33;24103;Kiel;+49 221 405976;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0011;Kiel UV-Weft Lounge #6;Sophienblatt 111;24104;Kiel;+49 688 378209;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0012;Lübeck Master Hair #1;Breite Straße 10;23552;Lübeck;+49 512 460146;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
SH-CLEAN-0013;Lübeck Master Hair #2;Königstraße 134;23553;Lübeck;+49 694 316911;Hair Extensions, UV-LED Wefts & Professional Hair Care;Simple Hair Partner;Comprehensive National Database - All Regions Included
